,adj_cnt,adj_word,verb_cnt,verb_word,noun_cnt,noun_word,conjuction_cnt,conjuction_word
0,36.0,厳しい,164.0,できる,257,お尋ね,129.0,また
1,27.0,高い,150.0,進める,155,実現,88.0,そして
2,23.0,幅広い,146.0,向ける,136,政府,42.0,及び
3,22.0,強い,104.0,取り組む,124,今後,37.0,しかし
4,17.0,やすい,88.0,つくる,113,国民,31.0,あるいは
5,17.0,美しい,87.0,踏まえる,111,制度,30.0,かつ
6,15.0,ふさわしい,72.0,目指す,110,重要,28.0,例えば
7,15.0,大きい,67.0,持つ,108,検討,26.0,まずは
8,15.0,新しい,63.0,図る,103,必要,13.0,なお
9,12.0,広い,58.0,守る,98,世界,11.0,そこで
10,12.0,早い,57.0,られる,96,経済,11.0,一方
11,11.0,力強い,55.0,いたす,91,改革,7.0,ただ
12,11.0,ほしい,52.0,含める,88,支援,6.0,だからこそ
13,7.0,多い,42.0,得る,87,対策,4.0,それで
14,7.0,よい,41.0,基づく,84,課題,4.0,つまり
15,7.0,深い,39.0,つなげる,83,地方,4.0,したがって
16,6.0,正しい,31.0,立つ,80,確保,4.0,さて
17,6.0,低い,29.0,支える,72,地域,3.0,だから
18,5.0,安い,29.0,見る,71,企業,3.0,しかしながら
19,4.0,望ましい,27.0,言う,71,対応,2.0,でも
20,4.0,長い,27.0,含む,70,成長,2.0,または
21,4.0,きめ細かい,25.0,始める,68,拡大,2.0,そもそも
22,3.0,おかしい,25.0,応じる,67,年度,1.0,ところが
23,3.0,にくい,24.0,引き続く,66,再生,1.0,実は
24,3.0,乏しい,23.0,求める,63,指摘,1.0,しかも
25,3.0,やむを得ない,22.0,やる,61,復興,1.0,それから
26,3.0,とうとい,22.0,とる,60,昨年,,
27,3.0,すばらしい,22.0,受ける,59,皆さん,,
28,3.0,良い,21.0,進む,58,社会,,
29,3.0,おいしい,21.0,続く,58,方々,,
30,3.0,明るい,20.0,伴う,58,環境,,
31,2.0,少ない,20.0,上げる,57,認識,,
32,2.0,難しい,19.0,増す,56,女性,,
33,2.0,うまい,19.0,つながる,56,全て,,
34,2.0,粘り強い,19.0,講じる,55,政策,,
35,2.0,温かい,19.0,見直す,55,福島,,
36,2.0,がたい,18.0,変わる,54,賃金,,
37,2.0,甘い,17.0,当たる,53,国会,,
38,2.0,幼い,17.0,取り巻く,52,安定,,
39,2.0,かわいらしい,17.0,頑張る,52,平和,,
40,2.0,薄い,16.0,生かす,52,消費税率,,
41,1.0,若い,16.0,続ける,51,与党,,
42,1.0,近い,16.0,努める,49,着実,,
43,1.0,危うい,16.0,あわせる,49,社会保障,,
44,1.0,ひどい,15.0,上がる,48,安倍内閣,,
45,1.0,厚い,15.0,沿う,48,原発,,
46,1.0,細かい,15.0,引き上げる,47,観点,,
47,1.0,重い,15.0,伺う,46,生活,,
48,1.0,目覚ましい,15.0,取りまとめる,46,上昇,,
49,1.0,揺るぎない,15.0,深める,46,雇用,,
50,1.0,余儀ない,14.0,果たす,45,強化,,
51,1.0,尊い,13.0,いう,45,取り組み,,
52,1.0,狭い,13.0,決める,44,問題,,
53,1.0,軽い,13.0,働く,44,引き上げ,,
54,1.0,弱い,13.0,示す,43,全力,,
55,1.0,逞しい,13.0,おく,43,中国,,
56,1.0,やさしい,13.0,超える,42,整備,,
57,1.0,難い,13.0,かかわる,42,可能性,,
58,1.0,たくましい,13.0,重ねる,41,安全保障,,
59,1.0,優しい,13.0,定める,40,推進,,
60,,,13.0,攻める,40,早期,,
61,,,13.0,整える,39,加速,,
62,,,12.0,出る,39,責任,,
63,,,12.0,挙げる,39,改善,,
64,,,12.0,聞く,39,"*
",,
65,,,12.0,異なる,38,充実,,
66,,,12.0,広がる,38,状況,,
67,,,12.0,講ずる,38,向上,,
68,,,12.0,あふれる,37,具体,,
69,,,12.0,応える,37,実施,,
70,,,11.0,出す,37,説明,,
71,,,11.0,尽くす,37,経済の好循環,,
72,,,11.0,なす,37,構築,,
73,,,11.0,経る,36,人々,,
74,,,11.0,充てる,36,議員,,
75,,,11.0,与える,36,秘密,,
76,,,11.0,願う,36,沖縄,,
77,,,11.0,見込む,36,皆様,,
78,,,11.0,信じる,35,現在,,
79,,,10.0,述べる,35,連携,,
80,,,10.0,比べる,35,憲法改正,,
81,,,10.0,加える,34,目標,,
82,,,10.0,通じる,34,意見,,
83,,,10.0,のっとる,33,可能,,
84,,,10.0,待つ,33,分野,,
85,,,10.0,満ちる,33,十分,,
86,,,10.0,傾ける,33,初め,,
87,,,9.0,入れる,33,負担,,
88,,,9.0,いただける,33,適切,,
89,,,9.0,設ける,32,私たち,,
90,,,9.0,おっしゃる,32,一年,,
91,,,9.0,高める,32,予算,,
92,,,9.0,行く,32,事業者,,
93,,,9.0,至る,32,拡充,,
94,,,9.0,問う,32,法案,,
95,,,9.0,起こる,31,全体,,
96,,,9.0,くれる,31,平成,,
97,,,9.0,位置付ける,31,財政,,
98,,,9.0,もたらす,31,法人,,
99,,,8.0,引き渡す,31,安全,,
100,,,8.0,やめる,31,情報,,
101,,,8.0,歩む,31,交渉,,
102,,,8.0,つくり上げる,30,措置,,
103,,,8.0,合わせる,30,中小企業,,
104,,,8.0,取り戻す,30,導入,,
105,,,8.0,眠る,30,取組,,
106,,,8.0,迎える,29,活用,,
107,,,8.0,深まる,29,活力,,
108,,,8.0,訪れる,29,韓国,,
109,,,7.0,いける,29,努力,,
110,,,7.0,とれる,29,判断,,
111,,,7.0,くださる,29,協力,,
112,,,7.0,築く,29,運用,,
113,,,7.0,上回る,29,チャンス,,
114,,,7.0,なくす,29,自由,,
115,,,7.0,促す,28,決定,,
116,,,7.0,盛り込む,28,賃上げ,,
117,,,7.0,期す,27,パラリンピック,,
118,,,7.0,生み出す,27,事業,,
119,,,7.0,たっとぶ,26,結果,,
120,,,7.0,認める,26,エネルギー,,
121,,,7.0,係る,26,特定秘密保護法,,
122,,,7.0,培う,26,基本,,
123,,,7.0,訴える,26,転嫁,,
124,,,7.0,終わる,26,景気回復,,
125,,,6.0,つくり出す,25,懇談会,,
126,,,6.0,ふえる,25,体制,,
127,,,6.0,変える,25,積極,,
128,,,6.0,置く,25,承知,,
129,,,6.0,わかる,25,影響,,
130,,,6.0,伸びる,25,収益,,
131,,,6.0,選ぶ,25,所得,,
132,,,6.0,寄り添う,25,政労,,
133,,,6.0,言える,25,引上げ,,
134,,,6.0,起こす,25,見直し,,
135,,,6.0,引き継ぐ,25,方針,,
136,,,6.0,知る,25,拍手,,
137,,,6.0,苦しむ,25,アフリカ,,
138,,,6.0,込める,25,農林水産業,,
139,,,6.0,誓う,24,米国,,
140,,,6.0,失う,24,年間,,
141,,,6.0,下がる,24,消費税,,
142,,,6.0,よる,24,本年,,
143,,,6.0,担う,24,開始,,
144,,,6.0,届ける,24,規制,,
