,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,low,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
0,強い,181,できる,1612,必要,966,そして,1934,,?,0,厳しい,153,できる,527,必要,860,そして,963
1,大きい,169,進める,923,国民,777,また,1171,,,1,高い,135,進める,374,政府,569,また,747
2,やすい,158,られる,669,政府,668,あるいは,618,,high,2,強い,98,られる,315,国民,521,しかし,336
3,高い,158,言う,612,地域,644,しかし,613,,?,3,大きい,87,言う,310,お尋ね,497,あるいは,326
4,厳しい,155,持つ,504,状況,637,そこで,450,,,4,新しい,75,つくる,301,今後,434,例えば,235
5,新しい,121,つくる,453,今後,623,例えば,419,,,5,やすい,57,守る,299,米国,393,そこで,204
6,早い,90,取り組む,446,重要,572,つまり,241,,,6,幅広い,52,向ける,267,重要,366,及び,142
7,多い,78,向ける,440,経済,571,及び,228,,,7,多い,48,取り組む,247,状況,363,かつ,125
8,よい,70,いたす,396,支援,541,かつ,191,,,8,早い,47,持つ,245,世界,339,つまり,111
9,正しい,65,守る,395,指摘,540,そもそも,134,,,9,力強い,44,いたす,242,交渉,335,まずは,80
10,力強い,54,得る,356,お尋ね,517,一方,123,,,10,低い,39,含める,236,指摘,327,一方,77
11,低い,50,含める,319,問題,505,ただ,111,,,11,よい,34,得る,219,確保,324,ただ,71
12,難しい,46,やる,309,制度,487,まずは,108,,,12,難しい,32,踏まえる,167,対応,321,なお,51
13,幅広い,45,図る,302,答弁,485,なお,87,,,13,ふさわしい,31,やる,166,地域,314,そもそも,48
14,長い,41,いう,302,対応,476,実は,49,,,14,広い,30,示す,159,実現,307,実は,30
15,良い,39,踏まえる,275,方々,475,したがって,43,,,15,粘り強い,28,見る,158,経済,300,したがって,30
16,よろしい,37,見る,273,政策,466,だからこそ,41,,,16,美しい,25,図る,146,制度,299,だからこそ,28
17,広い,33,受ける,260,確保,459,すなわち,34,,,17,正しい,23,目指す,143,検討,295,すなわち,19
