,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,
0,厳しい,153,できる,527,必要,860,そして,963,,
1,高い,135,進める,374,政府,569,また,747,,
2,強い,98,られる,315,国民,521,しかし,336,,
3,大きい,87,言う,310,お尋ね,497,あるいは,326,,
4,新しい,75,つくる,301,今後,434,例えば,235,,
5,やすい,57,守る,299,米国,393,そこで,204,,
6,幅広い,52,向ける,267,重要,366,及び,142,,
7,多い,48,取り組む,247,状況,363,かつ,125,,
8,早い,47,持つ,245,世界,339,つまり,111,,
9,力強い,44,いたす,242,交渉,335,まずは,80,,
10,低い,39,含める,236,指摘,327,一方,77,,
11,よい,34,得る,219,確保,324,ただ,71,,
12,難しい,32,踏まえる,167,対応,321,なお,51,,
13,ふさわしい,31,やる,166,地域,314,そもそも,48,,
14,広い,30,示す,159,実現,307,実は,30,,
15,粘り強い,28,見る,158,経済,300,したがって,30,,
16,美しい,25,図る,146,制度,299,だからこそ,28,,
17,正しい,23,目指す,143,検討,295,すなわち,19,,
18,長い,23,受ける,140,国会,293,しかしながら,16,,
19,少ない,19,いう,132,政策,289,又は,16,,
20,若い,18,基づく,132,答弁,261,だから,15,,
21,良い,18,求める,121,結果,254,では,15,,
22,望ましい,17,おく,117,方々,250,しかも,13,,
23,にくい,16,出す,116,事実,246,それで,12,,
24,やむを得ない,16,出る,114,課題,238,でも,10,,
25,安い,16,述べる,108,支援,238,または,10,,
26,深い,16,変わる,103,説明,235,それでも,10,,
27,重い,15,働く,99,認識,235,ただし,8,,
28,ほしい,13,入る,98,対策,229,ちなみに,6,,
29,きめ細かい,12,上がる,98,問題,219,じゃ,5,,
30,詳しい,11,認める,97,判断,217,さて,4,,
31,注意深い,10,おっしゃる,96,ルール,217,こうして,4,,
32,温かい,9,当たる,95,改革,208,よって,4,,
33,おいしい,9,上げる,94,現在,196,それでは,4,,
34,よろしい,9,つながる,94,自由,192,ゆえに,2,,
35,言うまでもない,9,含む,94,私たち,192,それに,2,,
36,おかしい,8,あり,93,承知,189,だからといって,2,,
37,すばらしい,8,いける,91,皆さん,189,ところが,1,,
38,弱い,8,果たす,91,平和,188,それから,1,,
39,短い,8,行く,90,地方,185,それとも,1,,
40,悪い,7,応じる,87,考え方,183,ですから,1,,
41,危うい,6,至る,85,企業,183,次いで,1,,
42,幼い,6,取る,83,成長,182,次に,1,,
43,固い,6,決める,83,全て,179,そうしたら,1,,
44,近い,5,しまう,82,考え,178,,,,
45,揺るぎない,5,立つ,81,環境,178,,,,
46,尊い,5,ござる,80,協定,174,,,,
47,明るい,5,続ける,79,自衛隊,173,,,,
48,親しい,5,進む,79,観点,172,,,,
49,乏しい,4,いただける,75,法案,170,,,,
50,ひどい,4,超える,73,措置,170,,,,
51,厚い,4,とる,73,大臣,169,,,,
52,細かい,4,させる,73,発言,169,,,,
53,とうとい,4,かかわる,73,強化,169,,,,
54,うまい,4,なす,70,負担,167,,,,
55,甘い,4,聞く,69,北朝鮮,163,,,,
56,著しい,4,引き続く,68,理解,162,,,,
57,手厚い,4,生かす,67,安定,161,,,,
58,ありがたい,4,変える,67,適切,158,,,,
59,いち早い,4,講じる,67,十分,156,,,,
60,薄い,3,始める,64,大変,155,,,,
61,難い,3,入れる,63,年度,149,,,,
62,毛頭ない,3,起こる,62,拡大,147,,,,
63,痛ましい,3,作る,60,実施,147,,,,
64,痛い,3,使う,60,整備,146,,,,
65,遅い,3,努める,59,可能,144,,,,
66,貧しい,3,挙げる,57,女性,143,,,,
67,狭い,2,やめる,55,責任,140,,,,
68,軽い,2,違う,54,連携,139,,,,
69,がたい,2,支える,54,推進,138,,,,
70,かわいらしい,2,開く,52,要件,137,,,,
71,激しい,2,増す,52,社会,137,,,,
72,悲しい,2,尽くす,51,議員,136,,,,
73,恥ずかしい,2,限る,51,安全保障,134,,,,
74,小さい,2,つなげる,51,改善,134,,,,
75,すごい,2,与える,51,活動,134,,,,
76,汚い,2,増える,50,中国,134,,,,
77,遠い,2,下がる,50,質問,130,,,,
