,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
0,ない,1632.0,する,16854.0,こと,8711,そして,1934.0
1,いい,341.0,いる,6799.0,わけ,4704,また,1171.0
2,強い,181.0,いく,5428.0,よう,3536,あるいは,618.0
3,大きい,169.0,ある,3379.0,これ,3115,しかし,613.0
4,やすい,158.0,れる,3032.0,それ,1699,そこで,450.0
5,高い,158.0,思う,3021.0,もの,1664,例えば,419.0
6,厳しい,155.0,なる,2821.0,ところ,1549,つまり,241.0
7,新しい,121.0,おる,2495.0,ため,1460,及び,228.0
8,早い,90.0,考える,1684.0,日本,1150,かつ,191.0
9,多い,78.0,行う,1627.0,議論,1148,そもそも,134.0
10,よい,70.0,できる,1612.0,必要,966,一方,123.0
11,正しい,65.0,いただく,1443.0,我々,936,ただ,111.0
12,力強い,54.0,申し上げる,1188.0,国民,777,まずは,108.0
13,低い,50.0,くる,980.0,我が国,747,なお,87.0
14,難しい,46.0,せる,975.0,政府,668,実は,49.0
15,幅広い,45.0,進める,923.0,地域,644,したがって,43.0
16,長い,41.0,まいる,785.0,"*
",637,だからこそ,41.0
17,良い,39.0,られる,669.0,状況,623,すなわち,34.0
18,よろしい,37.0,言う,612.0,委員,608,だから,31.0
19,広い,33.0,持つ,565.0,関係,576,または,31.0
20,美しい,33.0,つくる,504.0,今後,572,でも,25.0
21,少ない,31.0,取り組む,453.0,重要,571,いや,24.0
22,深い,29.0,向ける,446.0,経済,541,しかも,23.0
23,若い,28.0,いたす,440.0,支援,540,ちなみに,15.0
24,おかしい,27.0,守る,396.0,指摘,517,では,15.0
25,安い,27.0,得る,395.0,お尋ね,505,それで,14.0
26,ふさわしい,24.0,含める,356.0,問題,487,又は,14.0
27,短い,22.0,やる,319.0,制度,485,ただし,11.0
28,にくい,22.0,図る,309.0,答弁,476,それでも,11.0
29,重い,21.0,いう,302.0,対応,475,ましてや,10.0
30,悪い,20.0,踏まえる,302.0,方々,466,しかしながら,10.0
31,弱い,19.0,見る,275.0,政策,459,じゃ,9.0
32,揺るぎない,18.0,受ける,273.0,確保,454,よって,8.0
33,すばらしい,17.0,示す,260.0,企業,417,それでは,8.0
34,近い,16.0,つく,252.0,今回,415,次に,8.0
35,粘り強い,15.0,働く,249.0,検討,410,だって,6.0
36,きめ細かい,15.0,おく,243.0,判断,409,ゆえに,5.0
37,詳しい,12.0,目指す,242.0,考え方,408,こうして,4.0
38,小さい,12.0,基づく,229.0,実現,407,だからといって,4.0
39,望ましい,12.0,出る,223.0,事実,399,ところが,3.0
40,おいしい,11.0,いける,212.0,とき,388,並びに,3.0
41,やむを得ない,11.0,出す,209.0,世界,381,さて,2.0
42,明るい,11.0,おっしゃる,204.0,皆さん,380,ですから,2.0
43,うまい,10.0,行く,192.0,私たち,379,それと,2.0
44,貧しい,9.0,求める,190.0,課題,372,それから,2.0
45,難い,9.0,当たる,185.0,米国,367,それに,2.0
46,とうとい,8.0,変わる,177.0,場合,354,そうして,1.0
47,すごい,8.0,上げる,177.0,地方,339,そうしたら,1.0
48,痛ましい,8.0,果たす,175.0,とおり,334,どころか,1.0
49,著しい,8.0,とる,173.0,改革,333,そうすると,1.0
50,がたい,7.0,上がる,172.0,考え,330,それどころか,1.0
51,激しい,7.0,進む,169.0,大臣,327,それだけに,1.0
52,尊い,7.0,変える,164.0,新た,322,でなければ,1.0
53,うれしい,7.0,あり,161.0,さまざま,321,次いで,1.0
54,かたい,7.0,かかわる,158.0,対策,316,それなら,1.0
55,数多い,7.0,つながる,155.0,説明,312,というのも,1.0
56,言うまでもない,6.0,述べる,153.0,実施,308,,
57,危うい,5.0,認める,153.0,活動,307,,
58,目覚ましい,5.0,わかる,149.0,安定,306,,
59,速い,5.0,決める,144.0,全て,302,,
60,古い,5.0,起こる,144.0,平和,300,,
61,つらい,5.0,聞く,144.0,強化,299,,
62,乏しい,5.0,ござる,140.0,結果,296,,
63,温かい,5.0,続ける,138.0,理解,294,,
64,暗い,5.0,生かす,137.0,整備,292,,
65,親しい,5.0,超える,136.0,岩場,291,,
66,手厚い,5.0,違う,135.0,発言,287,,
67,うるさい,4.0,しまう,134.0,大切,286,,
68,恥ずかしい,4.0,立つ,129.0,現在,285,,
69,遠い,4.0,入る,127.0,環境,284,,
70,苦しい,4.0,なす,125.0,改善,284,,
71,優しい,4.0,させる,124.0,責任,276,,
72,ひどい,4.0,もらう,121.0,努力,275,,
73,余儀ない,3.0,与える,120.0,自衛隊,269,,
74,きつい,3.0,応じる,118.0,認識,268,,
75,痛い,3.0,続く,113.0,成長,267,,
76,麗しい,3.0,呼ぶ,111.0,平成,266,,
77,暖かい,3.0,しれる,108.0,国会,265,,
78,厚い,3.0,含む,105.0,観点,262,,
