,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
0,ない,917.0,する,10109.0,こと,4706,そして,963.0
1,厳しい,153.0,いる,3374.0,わけ,2427,また,747.0
2,高い,135.0,いく,2878.0,これ,1865,しかし,336.0
3,いい,130.0,ある,2184.0,よう,1846,あるいは,326.0
4,強い,98.0,れる,1868.0,もの,990,例えば,235.0
5,大きい,87.0,なる,1677.0,それ,960,そこで,204.0
6,新しい,75.0,おる,1628.0,ところ,905,及び,142.0
7,やすい,57.0,思う,1555.0,ため,865,かつ,125.0
8,幅広い,52.0,考える,1061.0,"*
",860,つまり,111.0
9,多い,48.0,行う,962.0,日本,710,まずは,80.0
10,早い,47.0,できる,916.0,我が国,578,一方,77.0
11,力強い,44.0,いただく,810.0,必要,569,ただ,71.0
12,低い,39.0,まいる,673.0,我々,560,なお,51.0
13,よい,34.0,くる,615.0,議論,550,そもそも,48.0
14,難しい,32.0,せる,607.0,政府,521,実は,30.0
15,ふさわしい,31.0,申し上げる,597.0,国民,497,したがって,30.0
16,広い,30.0,進める,527.0,お尋ね,434,だからこそ,28.0
17,粘り強い,28.0,られる,374.0,今後,393,すなわち,19.0
18,美しい,25.0,言う,315.0,米国,366,しかしながら,16.0
19,正しい,23.0,つくる,310.0,重要,363,又は,16.0
20,長い,23.0,守る,301.0,状況,339,だから,15.0
21,少ない,19.0,向ける,299.0,世界,335,では,15.0
22,若い,18.0,取り組む,267.0,交渉,327,しかも,13.0
23,良い,18.0,持つ,247.0,指摘,324,それで,12.0
24,望ましい,17.0,いたす,245.0,確保,321,でも,10.0
25,にくい,16.0,含める,242.0,関係,321,または,10.0
26,やむを得ない,16.0,得る,236.0,対応,314,それでも,10.0
27,安い,16.0,踏まえる,219.0,委員,311,ただし,8.0
28,深い,16.0,やる,167.0,地域,307,いや,7.0
29,重い,15.0,示す,166.0,実現,300,ちなみに,6.0
30,ほしい,13.0,見る,159.0,経済,299,じゃ,5.0
31,きめ細かい,12.0,図る,158.0,制度,295,さて,4.0
32,詳しい,11.0,目指す,146.0,検討,293,こうして,4.0
33,注意深い,10.0,受ける,143.0,国会,289,よって,4.0
34,温かい,9.0,いう,140.0,今回,275,それでは,4.0
35,おいしい,9.0,基づく,132.0,政策,261,ゆえに,2.0
36,よろしい,9.0,求める,132.0,答弁,254,それに,2.0
37,言うまでもない,9.0,つく,130.0,結果,250,だからといって,2.0
38,おかしい,8.0,おく,121.0,方々,246,ところが,1.0
39,すばらしい,8.0,出す,117.0,事実,238,それから,1.0
40,弱い,8.0,出る,116.0,課題,238,それとも,1.0
41,短い,8.0,述べる,114.0,支援,235,ですから,1.0
42,悪い,7.0,変わる,108.0,説明,235,次いで,1.0
43,危うい,6.0,働く,103.0,認識,229,次に,1.0
44,幼い,6.0,入る,99.0,対策,219,そうしたら,1.0
45,固い,6.0,上がる,98.0,問題,217,,
46,近い,5.0,認める,98.0,判断,217,,
47,揺るぎない,5.0,おっしゃる,97.0,様々,210,,
48,尊い,5.0,当たる,96.0,ルール,208,,
49,明るい,5.0,上げる,95.0,とおり,206,,
50,親しい,5.0,つながる,94.0,とき,201,,
