,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
0,ない,1834,する,18675,こと,9419,そして,1625,,ない,1336,する,14982,こと,7060,そして,1479,,ない,1490,する,14742,こと,7543,そして,1346,,ない,1718,する,16339,こと,8272,そして,1532,,ない,1884,する,18369,こと,10065,そして,2292,,ない,1212,する,12366,こと,5890,そして,1127
1,いい,249,いる,7078,わけ,4338,また,1371,,いい,226,いる,5559,わけ,3929,また,1108,,いい,248,いる,5750,わけ,4312,また,938,,いい,200,いる,6340,わけ,4053,また,1201,,いい,341,いる,7515,わけ,5393,また,1348,,厳しい,157,いる,4479,わけ,2780,また,856
2,強い,225,いく,5103,よう,3813,あるいは,622,,高い,208,いく,4492,これ,2991,しかし,536,,高い,170,いく,4045,これ,3182,しかし,597,,強い,188,いく,4203,これ,3466,しかし,568,,強い,202,いく,5750,これ,4483,しかし,808,,高い,156,いく,3678,よう,2232,しかし,419
3,高い,175,ある,3985,これ,3210,しかし,594,,大きい,163,ある,2882,よう,2953,あるいは,491,,大きい,154,ある,2905,よう,3024,そこで,441,,高い,172,ある,3401,よう,3126,あるいは,499,,厳しい,172,ある,3731,よう,3975,あるいは,692,,いい,137,ある,2367,これ,2151,あるいは,310
4,厳しい,167,れる,3216,それ,1741,そこで,424,,厳しい,155,れる,2649,もの,1599,そこで,390,,厳しい,141,れる,2762,それ,1586,あるいは,414,,厳しい,163,れる,3017,それ,1594,例えば,411,,高い,165,思う,3606,それ,2269,そこで,544,,強い,129,れる,2110,もの,1198,例えば,281
5,大きい,153,思う,3048,ところ,1722,例えば,414,,強い,141,おる,2523,ところ,1439,例えば,347,,強い,131,おる,2398,もの,1475,例えば,369,,大きい,137,なる,2839,ところ,1552,そこで,403,,大きい,155,れる,3456,ところ,1850,例えば,505,,大きい,119,おる,2083,それ,1080,そこで,277
6,やすい,121,なる,3034,もの,1649,及び,237,,新しい,131,なる,2466,それ,1324,及び,191,,新しい,89,思う,2360,ところ,1433,つまり,269,,やすい,116,おる,2437,もの,1498,及び,223,,やすい,148,なる,3184,もの,1693,つまり,345,,新しい,90,なる,2042,ところ,1007,かつ,162
7,新しい,108,おる,2963,ため,1619,かつ,195,,やすい,94,思う,2407,ため,1153,かつ,172,,やすい,88,なる,2349,ため,1212,及び,203,,新しい,107,思う,2429,ため,1394,かつ,193,,早い,120,おる,2947,ため,1442,及び,234,,早い,77,思う,1394,ため,906,及び,145
8,多い,105,考える,1844,日本,1058,つまり,181,,早い,93,考える,1439,議論,1004,つまり,145,,早い,79,考える,1568,議論,943,かつ,194,,早い,81,行う,1520,日本,1058,つまり,192,,多い,95,いただく,1839,我々,1343,かつ,210,,やすい,68,考える,1111,我々,882,つまり,123
9,早い,90,行う,1699,我々,1053,ただ,136,,多い,93,行う,1351,我々,932,なお,107,,難しい,77,いただく,1403,日本,915,そもそも,115,,多い,79,考える,1512,我が国,983,そもそも,118,,新しい,83,考える,1802,日本,1226,そもそも,146,,力強い,66,行う,1083,議論,762,まずは,93
10,力強い,88,できる,1671,必要,977,そもそも,135,,幅広い,64,できる,1346,必要,878,一方,103,,長い,74,行う,1309,我々,896,一方,113,,力強い,61,できる,1247,我々,914,ただ,111,,正しい,75,できる,1736,必要,1099,一方,145,,多い,62,できる,921,日本,730,ただ,76
11,よい,76,いただく,1490,議論,972,一方,128,,低い,64,いただく,963,日本,840,ただ,99,,多い,63,できる,1287,必要,872,ただ,112,,幅広い,59,いただく,1090,必要,896,まずは,110,,難しい,71,行う,1697,議論,1071,ただ,134,,よい,58,いただく,872,必要,655,一方,74
12,低い,68,まいる,1349,国民,887,まずは,126,,正しい,63,申し上げる,912,政府,810,そもそも,93,,幅広い,53,申し上げる,1150,我が国,756,なお,86,,難しい,58,申し上げる,969,議論,889,なお,90,,よい,65,申し上げる,1293,我が国,957,まずは,124,,幅広い,58,申し上げる,759,政府,630,なお,72
13,難しい,65,申し上げる,1195,お尋ね,792,なお,102,,良い,61,せる,857,国民,694,まずは,77,,低い,52,せる,1010,国民,731,まずは,82,,よい,53,まいる,924,国民,884,一方,83,,力強い,52,せる,1169,国民,915,だからこそ,71,,低い,53,まいる,756,国民,560,そもそも,59
14,幅広い,54,せる,1110,我が国,790,だからこそ,54,,よい,57,くる,798,我が国,689,したがって,41,,よい,50,くる,867,答弁,659,だからこそ,47,,にくい,49,せる,898,政府,879,したがって,55,,低い,48,くる,1137,委員,787,なお,70,,難しい,46,せる,690,我が国,551,実は,47
15,広い,48,進める,1048,政府,727,実は,52,,難しい,50,まいる,743,お尋ね,650,だから,40,,力強い,48,進める,667,政府,618,実は,47,,低い,44,進める,877,お尋ね,623,すなわち,49,,にくい,47,進める,749,状況,701,だから,63,,正しい,39,進める,649,今後,542,したがって,35
16,正しい,47,くる,956,状況,666,したがって,44,,力強い,50,進める,584,確保,565,でも,33,,正しい,39,られる,595,委員,584,だから,46,,ふさわしい,41,くる,706,状況,614,だからこそ,46,,長い,43,言う,744,政府,682,実は,62,,粘り強い,36,くる,522,お尋ね,490,だからこそ,26
17,良い,44,られる,719,重要,658,でも,43,,安い,44,られる,453,制度,562,実は,33,,広い,36,まいる,589,状況,543,でも,38,,長い,37,られる,568,関係,562,実は,45,,良い,40,られる,742,答弁,676,したがって,57,,少ない,31,られる,406,経済,465,しかしながら,25
18,若い,33,言う,653,問題,657,だから,34,,長い,41,言う,436,状況,543,だからこそ,27,,深い,31,言う,431,重要,521,したがって,37,,正しい,33,得る,497,今後,548,又は,33,,おかしい,39,守る,572,関係,632,すなわち,52,,長い,29,言う,378,状況,459,でも,20
19,よろしい,32,向ける,570,今後,657,しかも,32,,広い,40,取り組む,409,支援,522,又は,27,,近い,29,持つ,425,指摘,518,すなわち,35,,広い,33,言う,484,答弁,536,だから,31,,幅広い,38,持つ,561,地域,624,でも,47,,ふさわしい,26,向ける,361,確保,425,すなわち,18
20,にくい,32,持つ,542,経済,631,すなわち,25,,深い,35,いたす,384,指摘,507,いや,21,,おかしい,29,守る,405,今後,474,いや,29,,危うい,28,向ける,483,委員,524,いや,30,,若い,38,得る,510,判断,592,いや,36,,広い,21,取り組む,333,対応,419,だから,18
21,重い,31,取り組む,488,地域,628,いや,24,,にくい,33,持つ,382,関係,499,すなわち,20,,ふさわしい,28,得る,378,検討,455,または,20,,粘り強い,28,持つ,454,対応,523,でも,28,,美しい,34,いたす,486,重要,591,又は,34,,重い,21,持つ,323,実現,406,または,15
22,ふさわしい,31,得る,480,指摘,627,または,24,,弱い,32,向ける,361,経済,488,それでも,19,,短い,27,いたす,364,大臣,449,ただし,19,,重い,26,守る,428,重要,520,しかしながら,23,,広い,34,まいる,451,問題,577,では,23,,若い,19,つくる,316,制度,385,しかも,15
23,少ない,29,含める,460,支援,613,しかしながら,22,,ふさわしい,31,つくる,343,今後,484,しかしながら,14,,よろしい,26,取り組む,356,制度,445,それで,19,,よろしい,25,いたす,388,指摘,506,しかも,21,,短い,33,やる,449,指摘,575,しかも,22,,美しい,18,いたす,293,委員,380,それで,12
24,長い,27,いたす,398,対応,610,では,18,,おかしい,30,含める,327,重要,484,ただし,12,,美しい,26,向ける,337,確保,442,では,16,,若い,24,取り組む,362,問題,499,それで,16,,よろしい,32,つくる,420,今回,554,それで,20,,きめ細かい,18,得る,291,重要,368,ただし,11
25,美しい,26,図る,394,委員,603,ちなみに,15,,若い,29,得る,323,委員,482,ちなみに,11,,にくい,24,含める,328,お尋ね,441,しかしながら,15,,弱い,23,含める,329,今回,489,では,15,,深い,30,含める,420,対応,551,じゃ,16,,深い,18,含める,259,米国,358,又は,10
26,深い,25,つくる,383,関係,585,それで,14,,少ない,29,守る,316,答弁,445,こうして,10,,少ない,23,やる,310,対応,432,しかも,15,,美しい,23,受ける,319,確保,478,ただし,14,,うまい,30,いう,355,とき,533,または,16,,にくい,18,やる,259,指摘,352,では,10
27,近い,25,働く,368,答弁,572,又は,13,,重い,25,見る,301,地域,441,では,10,,若い,23,踏まえる,288,方々,410,又は,15,,良い,22,つくる,293,判断,468,ちなみに,13,,ふさわしい,28,向ける,350,大臣,513,それでも,15,,良い,17,見る,235,世界,350,ちなみに,10
28,短い,23,踏まえる,345,改革,554,ただし,13,,美しい,25,図る,290,対応,436,それでは,9,,重い,20,つくる,261,関係,406,それでは,11,,おいしい,22,いう,287,とき,462,それでも,13,,安い,28,取り組む,349,説明,504,ちなみに,15,,おかしい,17,踏まえる,222,支援,347,いや,10
29,すばらしい,23,やる,325,方々,529,それでも,10,,よろしい,24,働く,280,政策,431,しかも,8,,悪い,19,図る,260,判断,402,それでも,9,,近い,21,図る,262,世界,459,よって,11,,重い,25,見る,304,方々,479,よって,14,,よろしい,17,示す,190,政策,339,ゆえに,8
30,悪い,22,受ける,315,判断,523,じゃ,8,,粘り強い,19,やる,280,方々,429,それで,8,,良い,16,受ける,256,改革,397,じゃ,8,,悪い,19,働く,262,米国,457,または,10,,近い,25,受ける,301,支援,471,しかしながら,14,,小さい,16,守る,187,関係,335,こうして,7
31,弱い,22,守る,304,事実,488,よって,8,,きめ細かい,16,踏まえる,271,大臣,420,または,7,,安い,15,いう,244,経済,390,ちなみに,6,,やむを得ない,19,やる,253,経済,447,じゃ,8,,少ない,25,出す,287,場合,459,それから,13,,著しい,16,いう,184,答弁,333,それでも,7
